Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Kadi Riin	0	68	81	0	0	13	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	243
NeljaRaudne	0	0	827	0	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	2481
L1ghtK	0	1234	1908	616	0	58	0	0	0	0	39	0	243	0	0	0	0	0	158	282	0	0	411	101	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	222	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	5724
maeiteamidagi	0	583	1970	985	0	402	0	0	0	0	198	303	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	402	0	0	0	921	0	0	0	0	0	0	0	5910
lenny666	0	15553	20929	2531	952	1893	952	0	0	0	0	0	2325	1762	0	3443	1080	3588	0	223	2393	0	739	0	0	544	500	790	0	0	0	0	184	132	0	0	1516	0	0	0	0	331	0	0	191	59	0	0	0	177	0	952	0	0	0	0	0	63739
kermz	0	1251	6909	829	0	4829	0	0	0	0	252	189	0	0	0	237	0	183	0	390	0	0	0	0	52	653	0	2917	0	0	0	0	393	0	0	0	376	0	60	0	0	0	0	0	0	362	220	625	0	0	0	0	0	0	0	0	0	20727
beatrix	0	231	1696	831	0	634	0	0	0	0	117	0	0	52	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	0	0	194	0	0	0	0	0	0	0	0	535	99	0	0	0	0	0	0	0	0	0	0	5088
JoosepE	0	0	121	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	363
Alkeze	0	0	183	132	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	549
ProtoMolecule	0	5298	13459	2977	0	5184	0	0	0	0	350	807	1328	195	831	0	0	1787	0	0	0	0	0	0	0	2597	0	1874	0	0	0	0	0	320	0	0	0	0	2657	0	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	40377
margus	0	2626	9600	696	757	5521	757	0	0	0	932	0	0	0	107	764	0	0	823	0	0	0	0	0	0	264	58	4674	0	0	0	0	69	0	101	216	310	0	0	0	0	0	0	0	0	383	0	142	0	0	757	0	0	0	0	0	0	29557
Dave_Shinji	0	7954	10397	548	0	1895	0	0	0	0	62	0	2359	2622	0	217	0	545	0	292	145	411	1301	0	0	1297	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	144	0	241	0	598	0	0	0	0	0	0	0	0	0	0	0	31191
Kristjan	0	1108	2359	398	0	853	0	0	0	0	0	0	527	0	194	24	41	322	0	0	0	0	0	0	0	203	151	0	0	0	0	0	0	0	0	0	153	7	238	0	0	0	0	0	0	354	145	0	0	0	0	0	0	0	0	0	0	7077
9to5	0	711	2266	1207	0	348	0	0	0	0	165	0	546	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	1207	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	6798
Jaanus	0	0	158	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	474
Sõne	0	0	1789	16	0	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	31	1091	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	5367
AndG	0	0	1885	0	0	1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	5655
r1cowet (Daniil Dzembak)	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	21
Oskar	97	1054	2490	17	344	1075	247	49	48	0	0	0	0	332	0	0	174	0	0	0	119	429	0	0	0	528	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	471	76	0	0	0	0	107	140	0	0	0	0	7814
Tafka	0	1339	1385	0	0	46	0	0	0	0	0	0	99	399	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	15	0	0	0	0	0	0	0	0	0	0	4155
lava	0	174	451	0	0	277	0	0	0	0	78	0	0	0	0	0	96	0	0	0	0	0	0	0	0	33	0	44	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	1353
teeleht	0	1863	2331	311	0	157	0	0	0	0	0	0	0	0	0	0	137	95	3	539	0	0	453	636	0	147	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6993
TightRobotron	0	139	142	0	0	3	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	426
Teisi-LIis	0	1820	2857	791	0	246	0	0	0	0	456	0	0	0	0	0	165	0	41	806	352	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	209	0	216	0	32	0	0	0	157	0	0	0	0	0	0	0	8571
Kristina	0	0	670	0	0	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	2010
Anja	0	1681	3884	171	35	1997	35	0	0	0	207	0	0	0	15	0	0	0	0	0	1459	0	0	0	0	702	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	134	0	0	0	1295	0	0	0	0	35	0	0	0	0	0	0	11687
SmileyMusic	0	0	53	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	159
Ely	0	148	1184	464	0	572	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	50	109	196	0	0	0	0	0	0	0	0	0	3552
Edvin	0	19291	38724	14025	1449	3959	1449	0	0	0	124	540	1439	1201	462	2740	343	255	2191	192	119	5149	3052	1484	0	370	0	3463	0	12	0	0	0	2340	422	300	5273	0	3836	652	0	685	0	0	0	29	0	85	0	517	1449	0	0	0	0	0	0	117621
Ahti	0	471	8539	0	0	8068	0	0	0	0	0	302	0	0	0	0	169	0	0	0	0	0	0	0	0	68	0	7202	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	43	484	0	0	0	0	0	0	0	0	0	0	25617
KrabyK	0	0	62	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	186
Olari	0	594	2258	0	0	1664	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6774
IlmarB	0	1222	2195	184	453	336	453	0	0	0	228	0	158	0	149	0	0	0	282	271	100	34	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	155	0	50	0	0	453	0	0	0	0	0	0	7038
Karis	0	343	1200	397	0	460	0	0	0	0	152	0	0	0	123	0	0	0	0	0	68	0	0	0	0	249	0	0	26	0	0	0	0	0	0	0	76	0	268	0	53	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	3600
krohtla	7	34566	52535	7703	4134	6132	4127	7	0	146	716	0	2932	1930	2610	10960	3265	4906	1549	3835	1081	0	711	71	177	1231	144	3008	0	239	190	0	0	0	93	777	1468	619	1703	794	74	1697	0	0	411	0	802	195	0	67	608	1090	2382	47	0	0	0	161739
Scharlett	0	2482	8849	564	0	5803	0	0	0	926	0	947	515	120	544	356	0	0	0	0	0	0	0	0	0	558	0	3760	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	264	295	0	86	0	0	0	0	0	0	0	26547
LarsAsi	0	7931	8906	485	0	490	0	0	0	0	0	0	0	0	1091	2802	508	713	1500	0	0	72	1005	240	0	446	0	0	4	0	0	0	0	0	0	0	327	147	11	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	26718
Deleted User	0	847	2989	352	0	1790	0	0	0	0	0	355	113	0	191	188	0	0	0	0	0	0	0	0	0	503	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	986	301	0	0	0	0	0	0	0	0	0	8967
JanTreier	0	582	1119	0	0	537	0	0	0	0	47	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	27	0	0	0	0	0	0	0	0	0	3357
MeusChapeus	0	14491	17597	2367	0	739	0	0	0	0	0	0	788	436	906	2739	0	450	858	0	1025	0	6705	584	0	0	0	172	0	517	0	0	0	0	0	0	720	118	755	0	0	412	362	0	0	0	50	0	0	0	0	0	0	0	0	0	0	52791
Ivo	0	0	1663	0	0	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	4989
raimondl	0	923	2424	880	0	621	0	0	0	0	0	0	0	923	0	0	0	0	0	0	0	0	0	0	0	132	0	167	0	0	0	0	291	0	0	35	0	0	0	0	0	0	0	0	554	0	277	45	0	0	0	0	0	0	0	0	0	7272
Raggamasta	0	1429	1790	128	0	233	0	0	0	0	0	11	216	81	414	368	104	167	0	63	5	0	0	0	0	202	0	0	0	0	0	0	31	0	0	0	72	0	0	0	25	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5370
Karliito	0	783	1303	2	0	518	0	0	0	0	0	9	0	0	97	0	0	221	456	0	0	0	0	0	0	28	321	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	3909
HarriH	0	7412	14399	1661	336	4990	336	0	0	0	1624	0	1232	1013	0	981	0	0	0	2491	71	0	0	0	0	1014	0	2257	0	0	0	0	190	760	0	0	516	10	185	0	0	0	0	0	0	0	51	1668	0	0	336	0	0	0	0	0	0	43533
Tidrexion	0	4125	6501	447	1494	435	1494	0	0	0	195	0	246	82	137	50	0	1459	0	11	378	0	1567	0	0	302	0	0	0	43	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	90	0	0	278	1494	0	0	0	0	0	0	20997
mikklahe	0	794	2667	0	0	1873	0	0	0	0	703	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	8001
fox	0	1019	5086	0	0	4067	0	0	0	0	122	106	104	611	76	0	0	0	0	0	0	0	0	0	0	1419	250	1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	959	0	0	0	0	0	0	0	0	0	15258
Ken	0	4117	9177	476	958	3626	958	0	0	0	1853	0	92	806	0	0	491	407	0	468	0	0	0	0	0	213	0	2453	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	211	749	0	0	901	57	0	0	0	0	0	28489
Greete	0	0	129	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	387
PiiaMiia	0	0	386	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	1158
123321	0	1504	4220	0	0	2716	0	0	0	0	0	0	260	0	0	0	0	0	0	784	0	0	460	0	0	0	74	2211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	12660
pesalu	0	12708	25824	5339	0	7777	0	0	0	0	809	0	3636	1765	6076	0	0	0	0	422	0	0	0	0	0	0	645	7132	0	0	0	0	0	2086	1128	144	0	0	0	0	1634	0	136	0	0	0	0	0	0	211	0	0	0	0	0	0	0	77472
ErkkiA	0	3937	5352	1006	0	409	0	0	0	0	793	0	0	0	0	0	0	0	0	0	1301	595	1248	0	0	21	0	388	0	0	0	0	0	0	0	0	737	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16056
Margo	0	1260	4761	3419	0	82	0	0	0	0	0	0	93	0	0	0	0	502	228	302	0	0	0	135	0	0	0	82	0	0	0	0	0	0	0	0	0	0	209	0	0	594	2328	0	288	0	0	0	0	0	0	0	0	0	0	0	0	14283
kf	0	703	1270	243	0	324	0	0	0	0	320	0	0	0	0	0	90	0	0	293	0	0	0	0	0	78	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3810
Kristo	0	23	191	0	47	121	47	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	620
KO	0	433	680	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040
Frank	0	711	1670	217	470	272	470	0	0	0	130	127	87	130	79	17	141	0	0	0	0	0	0	0	0	0	14	258	0	0	0	0	0	0	0	135	82	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	176	0	0	0	0	5480
jevg	0	0	438	151	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1314
KrisTi	0	6233	12498	4182	0	2083	0	0	0	0	1292	0	1164	3620	157	0	0	0	0	0	0	0	0	0	0	177	0	1013	0	0	0	0	308	1471	0	517	1886	0	0	0	0	0	0	0	0	0	0	893	0	0	0	0	0	0	0	0	0	37494
eikall	0	1021	2205	238	0	946	0	0	0	0	0	0	0	0	0	128	0	0	0	327	0	0	566	0	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6615
taavet	0	2030	8125	418	2791	2886	2791	0	0	0	0	0	469	76	0	1095	0	0	0	106	284	0	0	0	0	0	0	2886	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2623	168	0	0	0	0	27166
kristinamerlyn	0	0	5344	117	0	5227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	0	4005	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16032
nooblander	0	0	2235	0	0	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6705
Angoora Janguuru	0	0	424	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272
jevg	0	0	256	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768
raimpz	0	637	908	0	0	271	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	75	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2724
Ahti	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
emmakuppart	0	596	1057	48	0	413	0	0	0	0	0	0	0	171	0	0	0	425	0	0	0	0	0	0	0	0	0	413	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3171
Villu	0	43	866	457	0	366	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	167	156	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2598
Gert_Lohmus	449	5964	12003	1930	3051	1058	2602	449	0	0	0	0	348	0	0	1610	1564	258	0	597	556	765	266	0	0	25	0	1033	0	0	0	0	0	0	0	482	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	1197	458	606	39060
marmaa	0	1277	1742	375	0	90	0	0	0	0	0	0	665	612	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	275	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5226
Sveta	0	0	1917	0	0	1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5751
KPohl	0	0	2086	1077	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	129	757	0	0	0	0	964	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6258
d0nsm	0	1163	2066	867	0	36	0	0	0	0	0	0	147	185	217	614	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	647	22	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6198
SportAnLife	0	0	133	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399
Taavi Paal	0	854	1147	0	0	293	0	0	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0	0	0	153	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3441
Kirill	0	274	319	0	0	45	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	19	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957
Vlarali	0	0	64	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192
Raul	0	845	1129	219	0	65	0	0	0	0	0	0	0	276	0	569	0	0	0	0	0	0	0	0	0	55	0	0	0	0	10	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3387
Mokkachino	0	58	1105	496	0	551	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	111	391	0	0	0	49	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3315
voyager94	0	299	710	119	206	86	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	49	0	0	206	0	0	0	0	0	0	2336
ilja	0	56	75	0	0	19	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	225
Home Run	397	1321	4960	742	1787	1110	1390	0	397	0	0	0	0	0	0	114	0	149	0	217	0	0	519	322	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	185	0	219	887	0	141	0	215	147	0	16667
IamAVeryRandomUserNumber2	0	0	110	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	330
Marek Lahk	0	33	308	0	0	275	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	924
Timo Loomets	450	2034	4378	166	1260	918	810	450	0	0	0	0	334	0	0	311	0	0	0	0	1389	0	0	0	15	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	166	37	113	0	146	102	240	172	14394
TSlex	0	2569	3169	81	318	201	318	0	0	0	0	0	956	0	243	457	76	0	0	0	0	0	708	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	201	0	0	112	206	0	0	0	0	0	9825
Jevgenia	0	10018	22181	2288	3019	6856	3019	0	0	1394	244	0	0	0	248	2238	701	675	0	1881	213	1265	2220	333	0	3744	0	0	356	0	0	0	75	260	0	0	613	0	564	0	520	0	0	0	256	0	0	1362	0	0	1738	1281	0	0	0	0	0	69562
TheCrimee	0	138	273	0	116	19	116	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	116	0	0	0	0	0	0	935
hard1	0	489	524	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	233	256	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1572
omarmahlapuu	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
LiisiLota	0	2023	2319	124	0	172	0	0	0	0	315	236	0	130	0	937	0	181	0	0	0	0	0	224	0	0	172	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6957
Neoduck	0	0	165	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495
Gremow	0	624	1865	435	75	731	75	0	0	0	0	0	0	0	0	0	374	0	0	250	0	0	0	0	0	697	34	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	5670
Karl_H	0	142	226	0	39	45	39	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	717
Parvetaja	0	1060	2207	360	638	149	638	0	0	0	0	0	0	0	0	140	179	213	0	292	0	236	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	275	0	0	0	638	0	0	0	7259
fredpaist	0	174	286	72	21	19	21	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	67	0	5	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	879
Sufleks	0	0	39	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117
liliat	0	9864	10293	297	0	132	0	0	0	0	1396	0	7945	290	233	0	0	0	0	0	0	0	0	0	0	61	71	0	0	0	0	0	196	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30879
Kiwitimot	0	135	617	132	273	77	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	2124
svenanton	0	4619	7083	0	1851	613	1851	0	0	0	0	0	0	1888	0	1045	1364	0	322	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1851	0	0	0	0	0	0	23100
Tark hiina vanamees	0	663	1505	0	842	0	842	0	0	0	0	0	0	409	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	311	0	0	5357
synsustainiac	0	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
Break_The_Silence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CodingBad	0	195	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585
SASKE	0	1105	1201	96	0	0	0	0	0	0	0	0	0	0	115	0	0	333	0	157	287	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3603
gautam	0	869	1152	256	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456
